Date/Time,Level (mm)
12/2/2018 17:00,1.61
12/2/2018 16:00,1.61
12/2/2018 15:00,1.62
12/2/2018 14:00,1.63
12/2/2018 13:00,1.63
12/2/2018 12:00,1.63
12/2/2018 11:00,1.63
12/2/2018 10:00,1.63
12/2/2018 9:00,1.63
12/2/2018 8:00,1.63
12/2/2018 7:00,1.64
12/2/2018 6:00,1.61
12/2/2018 5:00,1.65
12/2/2018 4:00,1.67
12/2/2018 3:00,1.56
12/2/2018 2:00,1.5
12/2/2018 1:00,1.5
12/2/2018 0:00,1.5
12/1/2018 23:00,1.5
12/1/2018 22:00,1.5
12/1/2018 21:00,1.5
12/1/2018 20:00,1.5
12/1/2018 19:00,1.5
12/1/2018 18:00,1.5
12/1/2018 17:00,1.5
12/1/2018 16:00,1.5
12/1/2018 15:00,1.5
12/1/2018 14:00,1.5
12/1/2018 13:00,1.5
12/1/2018 12:00,1.51
12/1/2018 11:00,1.5
12/1/2018 10:00,1.51
12/1/2018 9:00,1.51
12/1/2018 8:00,1.51
12/1/2018 7:00,1.51
12/1/2018 6:00,1.51
12/1/2018 5:00,1.51
12/1/2018 4:00,1.51
12/1/2018 3:00,1.51
12/1/2018 2:00,1.51
12/1/2018 1:00,1.51
12/1/2018 0:00,1.51
11/30/2018 23:00,1.51
11/30/2018 22:00,1.51
11/30/2018 21:00,1.51
11/30/2018 20:00,1.51
11/30/2018 19:00,1.51
11/30/2018 18:00,1.51
11/30/2018 17:00,1.51
11/30/2018 16:00,1.51
11/30/2018 15:00,1.51
11/30/2018 14:00,1.51
11/30/2018 13:00,1.51
11/30/2018 12:00,1.51
11/30/2018 11:00,1.51
11/30/2018 10:00,1.51
11/30/2018 9:00,1.51
11/30/2018 8:00,1.51
11/30/2018 7:00,1.51
11/30/2018 6:00,1.51
11/30/2018 5:00,1.51
11/30/2018 4:00,1.51
11/30/2018 3:00,1.51
11/30/2018 2:00,1.51
11/30/2018 1:00,1.51
11/30/2018 0:00,1.51
11/29/2018 23:00,1.51
11/29/2018 22:00,1.51
11/29/2018 21:00,1.51
11/29/2018 20:00,1.51
11/29/2018 19:00,1.51
11/29/2018 18:00,1.51
11/29/2018 17:00,1.51
11/29/2018 16:00,1.51
11/29/2018 15:00,1.5
11/29/2018 14:00,1.51
11/29/2018 13:00,1.51
11/29/2018 12:00,1.51
11/29/2018 11:00,1.51
11/29/2018 10:00,1.51
11/29/2018 9:00,1.51
11/29/2018 8:00,1.51
11/29/2018 7:00,1.51
11/29/2018 6:00,1.51
11/29/2018 5:00,1.51
11/29/2018 4:00,1.51
11/29/2018 3:00,1.51
11/29/2018 2:00,1.51
11/29/2018 1:00,1.51
11/29/2018 0:00,1.51
11/28/2018 23:00,1.51
11/28/2018 22:00,1.51
11/28/2018 21:00,1.51
11/28/2018 20:00,1.51
11/28/2018 19:00,1.51
11/28/2018 18:00,1.51
11/28/2018 17:00,1.51
11/28/2018 16:00,1.51
11/28/2018 15:00,1.51
11/28/2018 14:00,1.51
11/28/2018 13:00,1.51
11/28/2018 12:00,1.51
11/28/2018 11:00,1.52
11/28/2018 10:00,1.52
11/28/2018 9:00,1.52
11/28/2018 8:00,1.52
11/28/2018 7:00,1.52
11/28/2018 6:00,1.52
11/28/2018 5:00,1.52
11/28/2018 4:00,1.52
11/28/2018 3:00,1.52
11/28/2018 2:00,1.52
11/28/2018 1:00,1.52
11/28/2018 0:00,1.52
11/27/2018 23:00,1.52
11/27/2018 22:00,1.52
11/27/2018 21:00,1.52
11/27/2018 20:00,1.52
11/27/2018 19:00,1.52
11/27/2018 18:00,1.52
11/27/2018 17:00,1.52
11/27/2018 16:00,1.52
11/27/2018 15:00,1.52
11/27/2018 14:00,1.52
11/27/2018 13:00,1.52
11/27/2018 12:00,1.52
